"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.85553470919E+003, +4.23812918439E-002, +0.00000000000E+000
+1.85803627267E+003, +4.25720865380E-002, +0.00000000000E+000
+1.86053783615E+003, +4.28543555534E-002, +0.00000000000E+000
+1.86303939962E+003, +4.31683211469E-002, +0.00000000000E+000
+1.86554096310E+003, +4.32586195221E-002, +0.00000000000E+000
+1.86804252658E+003, +4.35313574858E-002, +0.00000000000E+000
+1.87054409006E+003, +4.37365332250E-002, +0.00000000000E+000
+1.87304565353E+003, +4.38689850287E-002, +0.00000000000E+000
+1.87554721701E+003, +4.39987939075E-002, +0.00000000000E+000
+1.87804878049E+003, +4.42978937193E-002, +0.00000000000E+000
+1.88055034396E+003, +4.44781095404E-002, +0.00000000000E+000
+1.88305190744E+003, +4.46870907420E-002, +0.00000000000E+000
+1.88555347092E+003, +4.48260956827E-002, +0.00000000000E+000
+1.88805503440E+003, +4.50669829697E-002, +0.00000000000E+000
+1.89055659787E+003, +4.53337996575E-002, +0.00000000000E+000
+1.89305816135E+003, +4.56106073041E-002, +0.00000000000E+000
+1.89555972483E+003, +4.58506043713E-002, +0.00000000000E+000
+1.89806128831E+003, +4.63188261476E-002, +0.00000000000E+000
+1.90056285178E+003, +4.66563187275E-002, +0.00000000000E+000
+1.90306441526E+003, +4.71638839940E-002, +0.00000000000E+000
+1.90556597874E+003, +4.76287043449E-002, +0.00000000000E+000
+1.90806754221E+003, +4.82317903129E-002, +0.00000000000E+000
+1.91056910569E+003, +4.89472866227E-002, +0.00000000000E+000
+1.91307066917E+003, +4.96200002220E-002, +0.00000000000E+000
+1.91557223265E+003, +5.05268443442E-002, +0.00000000000E+000
+1.91807379612E+003, +5.12067498094E-002, +0.00000000000E+000
+1.92057535960E+003, +5.21275768183E-002, +0.00000000000E+000
+1.92307692308E+003, +5.29006359555E-002, +0.00000000000E+000
+1.92557848655E+003, +5.37327072144E-002, +0.00000000000E+000
+1.92808005003E+003, +5.46782169259E-002, +0.00000000000E+000
+1.93058161351E+003, +5.55679347228E-002, +0.00000000000E+000
+1.93308317699E+003, +5.64701970207E-002, +0.00000000000E+000
